HolderAddress,Balance_2021-04-14_23-1,Balance_2021-04-15_15-56,Balance_2021-04-16_19-36,Balance_2021-04-18_11-17,Balance_2021-04-19_17-11,Balance_2021-04-20_17-0,Balance_2021-04-21_16-57,Balance_2021-04-22_16-35,Balance_2021-04-23_21-26,Balance_2021-04-24_8-20,Balance_2021-04-25_17-34,Balance_2021-04-26_20-7,Balance_2021-04-27_18-51,Balance_2021-04-28_19-57,Balance_2021-04-30_12-57,Balance_2021-05-01_8-43,Balance_2021-05-04_20-1,Balance_2021-05-05_17-51,Balance_2021-05-09_9-11,Balance_2021-05-10_21-52,Balance_2021-05-12_21-14,Balance_2021-07-17_22-4,Balance_2021-07-18_12-12
0x762e47fa2122520e6648f4e5729571d73950ab27,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249,1117.80888249
0x1b2bb85adc70cf6d2bab80854ba355a1a4e7f269,1117.28871083513,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272,1117.2887108351272
0xa46d49e6f816ed1f8079e662e9b17320cd8c8bcf,1116.4723872101,1116.472387210099,1116.472387210099,1116.472387210099,1116.472387210099,1116.472387210099,516.472387210099,516.472387210099,516.472387210099,8.7210098984203e-05,8.7210098984203e-05,8.7210098984203e-05,8.7210098984203e-05,8.7210098984203e-05,8.7210098984203e-05,8.7210098984203e-05,234.17094148145577,234.17094148145577,234.17094148145577,234.17094148145577,234.17094148145577,1539.4120200816617,1539.4120200816615
0x85b090a21990431d50f15f996112c461ed7bd8cf,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1116.15220489,1016.15220489,1016.15220489
0x875fa181a5bfcaae0f37c41dc88219eef192aeae,1115.35895255821,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152,1115.3589525582152
0x9c37926c8e3ed3275c63c11eafb3fb57e5b98f1f,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689,1113.689
0x5745cb31108f17aa5d77fb1b048e91475deee75e,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,1113.14075,500.04075,500.04075,500.04075,500.04075,500.04075,0.0,0.0
0x17d67c32404e527004b0d897e13546f08f70566a,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127,1112.51261127
0xadbc5b723bc60b912ca34b850f4a3f9f93f1e335,1111.07947194319,962.826707959882,962.826707959882,961.2107557611656,961.2107557611656,961.2107557611656,961.2107557611656,961.2107557611656,958.0233286171352,958.0233286171352,958.0233286171352,958.0233286171352,958.0233286171352,959.618780050252,956.441900672094,956.441900672094,964.5207224250396,952.9121111149286,946.6674800916996,946.6674800916996,946.6674800916996,893.624563426964,893.624563426964
0x8fd47b15edc0ab3946a0c9d0c389f192434bc488,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552,1111.011552
0x6e37a232fdc32e4175910bf08a7495ded8938c04,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0
0xe8de1560857361b8e86940b52fb1f0f008bac10f,1106.90299528732,1106.9029952873225,1106.9029952873225,1106.9029952873225,1106.9029952873225,1106.9029952873225,1106.9029952873225,1106.9029952873225,1106.9029952873225,1106.9029952873225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x6666e314728b50c7dbc41383ba38742bebaee13d,1106.60772109219,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,1106.6077210921928,306.6077210921929,306.6077210921929,306.6077210921929,306.6077210921929,306.6077210921929,306.6077210921929,306.6077210921929,0.0,0.0
0x5b1b049e24f8cfe96d7fe22809c438c9e69791fa,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,1105.4988,0.0,0.0
