HolderAddress,Balance_2021-04-20_18-8,Balance_2021-04-21_18-15,Balance_2021-04-22_18-25,Balance_2021-04-24_9-42,Balance_2021-04-25_18-54,Balance_2021-04-26_21-25,Balance_2021-04-27_20-8,Balance_2021-04-28_21-13,Balance_2021-05-01_9-59,Balance_2021-05-04_21-17,Balance_2021-05-05_19-8,Balance_2021-05-09_10-27,Balance_2021-05-12_22-29,Balance_2021-07-18_13-29
0xbffc58d22cdbebd98dc9ca75ab8395bf9f79ad5a,400.155484362619,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187,400.1554843626187
0x377ba893256154865d4af41e924f3c83197e530f,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579,400.134345298579
0xb9b136ccc76a210b2fb34e0963e2ba915381f630,400.09,400.09,400.09,400.09,400.09,400.09,400.09,400.09,400.09,400.09,400.09,400.09,400.09,400.09
0x1c50777f99cf210d1bb6c36c47680a6323d5c517,400.001370558399,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992,400.0013705583992
0xc7d01cb88c08e2268b16d3da637a0c120028884a,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,734.0,932.15,932.15,932.15,932.15,0.0
0x20f9bd030b833435c04c7f2589345ce2cd9847f3,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
0xd73f3f05dd9755d337efebf985625a780657d927,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
0xe58d06e4475456fbc69b81afdff2f18f6a5d1c31,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,0.0
0xca063b7eac9940109ab0b230470fa103b8090892,399.960836452432,399.960836452432,399.960836452432,399.960836452432,399.960836452432,399.960836452432,399.960836452432,399.960836452432,399.960836452432,399.960836452432,399.960836452432,399.960836452432,399.960836452432,0.0
0x0ace9619e247e790443ad2fe90137fd3657a9ad1,399.749115755705,399.7491157557055,399.7491157557055,399.7491157557055,399.7491157557055,399.7491157557055,399.7491157557055,399.7491157557055,399.7491157557055,399.7491157557055,0.0,0.0,0.0,0.0
0x0fc4b69958cb2fa320a96d54168b89953a953fbf,399.561554764692,0.0,0.6358915999495465,0.6358915999495465,0.6358915999495465,0.6358915999495465,0.6358915999495465,0.6358915999495465,0.6358915999495465,0.6358915999495465,0.6358915999495465,0.0,0.0,338.88335123148175
0xdd340a8f10e0cd29840e0f7c708a2e6b6256e308,399.47230004816,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595,399.4723000481595
0x9c2fca3ee865bd9751ee50d70fe893b98deb0fa7,399.430104481687,399.4301044816869,399.4301044816869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x7ffa8901be4777d9fd78f9a00d98dfcdbd833671,399.394349432716,399.39434943271647,399.39434943271647,575.4494908431043,575.4494908431043,575.4494908431043,575.4494908431043,575.4494908431043,575.4494908431043,754.8069928796991,754.8069928796991,916.2526628531238,916.2526628531238,279.2444764805109
0x398f6d20b8b2f981fcdcbf9c93f2d24aabb33f0d,399.38344,399.38344,399.38344,399.38344,399.38344,399.38344,399.38344,399.38344,399.38344,399.38344,399.38344,399.38344,200.38344,200.38344
0x3bb52b3101324197d765c7e27e79c6b0b5be8bab,399.311379570732,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184,399.31137957073184
0xf72141fa059f166d626ecaf831a0d17cffbfc607,399.207689817773,399.2076898177728,399.2076898177728,399.2076898177728,399.2076898177728,399.2076898177728,399.2076898177728,399.2076898177728,399.2076898177728,399.2076898177728,399.2076898177728,399.2076898177728,399.2076898177728,0.0
0x238724df353f920ec90141f3f62db31d63f06b66,399.039207,399.039207,399.039207,399.039207,399.039207,399.039207,399.039207,399.039207,399.039207,399.039207,399.039207,399.039207,399.039207,399.039207
0x7ea8e1b9feb9f6a3420538a21497180866e44765,399.025498403513,399.02549840351264,685.652894272045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x565096e8b62701697a52220e3f2469046c2dac87,399.02,399.02,399.02,399.02,399.02,399.02,399.02,399.02,399.02,0.0,0.0,0.0,0.0,0.0
0x786514442d157268e33b3692d3ff0e47203f37cc,399.0,399.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xb59018b105df15605d33d950d7b596245e6a53c9,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0,399.0
0xf41b0c07dc3807c16af63b5dd9ddc13a02efc307,398.522758,398.522758,398.522758,398.522758,398.522758,398.522758,398.522758,398.522758,398.522758,398.522758,398.522758,398.522758,398.522758,398.522758
0x46b58fdbf66a998b93ee6efec0ee85f96985894c,398.5,398.5,398.5,398.5,398.5,398.5,398.5,398.5,398.5,398.5,398.5,398.5,398.5,398.5
0xd5417e96dd04363c675e41ee6f30bf788412c719,398.25125354,398.25125354,398.25125354,398.25125354,398.25125354,398.25125354,398.25125354,398.25125354,398.25125354,16689.01818601,16689.01818601,373.210017,373.210017,365.5876771
0x8928162f714fc0ae40e3ded7ff5e21ed6e68ad62,398.171533907605,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053,398.1715339076053
0x514ca8ff4f58cb4309c5a2104b5cb27a2846613d,397.701125581834,397.7011255818337,397.7011255818337,397.7011255818337,397.7011255818337,397.7011255818337,397.7011255818337,397.7011255818337,397.7011255818337,397.7011255818337,397.7011255818337,397.7011255818337,397.7011255818337,397.70112558183365
0x7054b15c5d434403fde2852b1f4bd6b1a133e263,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693,397.63958693
0xf2fb743fa3a1c2386f5f973ae7d68e9b0597b236,397.6,397.6,397.6,397.6,397.6,397.6,397.6,397.6,397.6,397.6,397.6,397.6,397.6,397.6
0x129bfe4c3e8eafc66c8e15933223acad9479b72b,397.585077394019,397.5850773940188,397.5850773940188,397.5850773940188,397.5850773940188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x5189ee635affafffab97fe14ce674280ab2ab059,397.067,397.067,397.067,397.067,397.067,397.067,397.067,397.067,397.067,397.067,397.067,397.067,397.067,397.067
0xb8672411df6f29d9a5a6e239806563d6f42b0075,397.04,397.04,397.04,397.04,397.04,397.04,397.04,397.04,397.04,0.0,0.0,0.0,0.0,0.0
0x967352beb80d3a28d06252248d5d6b56921ba081,396.954604070241,396.95460407024086,19.155650640711382,19.155650640711382,19.155650640711382,19.155650640711382,19.155650640711382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x91b39ba1228b589eb8e129262b81fb5513feccf2,396.346885,396.346885,396.346885,396.346885,396.346885,396.346885,396.346885,396.346885,396.346885,396.346885,396.346885,396.346885,396.346885,396.346885
0xdf4f6a14cdb4f0f9201fb11ada95d72aa6e92608,396.280418107829,396.2804181078292,396.2804181078292,396.2804181078292,396.2804181078292,396.2804181078292,396.2804181078292,396.2804181078292,396.2804181078292,396.2804181078292,396.2804181078292,396.2804181078292,396.2804181078292,396.28041810782923
0x269c92862f6c4d6423b1bd4d7f2db5f47e5685ab,396.2071,396.2071,396.2071,396.2071,396.2071,396.2071,396.2071,396.2071,396.2071,396.2071,396.2071,396.2071,396.2071,396.2071
0x5d2a64410b7ef002e4c28f2b02a5763a42117958,396.095447265587,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727,396.09544726558727
0x22b235357a5fca0e516e7cf7850ecda16d742663,395.608411376363,395.6084113763632,395.6084113763632,395.6084113763632,395.6084113763632,395.6084113763632,395.6084113763632,395.6084113763632,395.6084113763632,395.6084113763632,395.6084113763632,395.6084113763632,395.6084113763632,395.60841137636316
0x70078db7a2059d735c0c2517abf6b44f3821e36d,395.56,395.56,395.56,395.56,395.56,395.56,355.56,320.56,320.56,320.56,320.56,285.56,235.56,0.0
0x1b58a54464b9af47db1aaad7029b6372c68af62e,395.266671112404,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039,395.2666711124039
0x108813f8a276d80b05ed772cd12509cfca032525,394.8322528,394.8322528,394.8322528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x71576e5de5d1fdb3f1bceadf1b60ae60905b2e9e,394.66808425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0x254c113836931bd841905556bb64265f0081e262,394.63467123473,394.63467123472986,394.63467123472986,394.63467123472986,394.63467123472986,394.63467123472986,394.63467123472986,394.63467123472986,394.63467123472986,394.63467123472986,394.63467123472986,394.63467123472986,394.63467123472986,0.0
0xf143f21067e1271142a455d0df7d53c578800b21,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975,394.504698671975
0xa8acdcbddc6278a7dea7db1dabb8123b5e3a25af,392.592159898965,392.5921598989653,392.5921598989653,392.5921598989653,392.5921598989653,392.5921598989653,392.5921598989653,392.5921598989653,392.5921598989653,392.5921598989653,392.5921598989653,392.5921598989653,392.5921598989653,0.0
0x2b8ebd40611ef95fab836c42b858be8533f68665,392.453735291869,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685,392.4537352918685
0x53a8b0ba747c9d9327f481a045d822d6b67375fa,392.249533354913,392.2495333549135,392.2495333549135,392.2495333549135,392.2495333549135,392.2495333549135,392.2495333549135,392.2495333549135,392.2495333549135,392.2495333549135,392.2495333549135,392.2495333549135,392.2495333549135,392.24953335491347
0x16906f8dccb4bc12adb6f1725e9553f062d05fa2,392.15714747,392.15714747,392.15714747,392.15714747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0xe469ae93534e5002fe1986ca38bcc46124a2867c,391.798757,391.798757,391.798757,391.798757,391.798757,391.798757,391.798757,391.798757,391.798757,391.798757,391.798757,391.798757,391.798757,391.798757
0x0756c88e382aae15017d294241e357d106286401,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052,391.37147052
0xe1de907779b0d9388d4a499fea5b6c90029214c9,390.982842,390.982842,390.982842,390.982842,390.982842,390.982842,390.982842,390.982842,390.982842,390.982842,390.982842,290.982842,290.982842,0.0
0x787b24cecefec7af515f096b29d13d4d2fe9918d,390.912879413653,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529,390.9128794136529
0x7fb444800fe3603e65567eb05835294b61407c4d,390.64,390.64,390.64,390.64,390.64,390.64,390.64,390.64,390.64,390.64,390.64,390.64,390.64,390.64
0x69b44ce0c4f385e921ad50f9e8d72170b9c188e0,389.763619133744,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442,389.7636191337442
0x082e412965bf0cf7dfedc62fb710e51f80c0794a,389.32419024,389.32419024,389.32419024,389.32419024,389.32419024,389.32419024,389.32419024,389.32419024,389.32419024,389.32419024,389.32419024,0.0,0.0,0.0
